TYPE,VAR,SCALE,P,SEED
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
s,tmin,wyear,NA,997
